fish_id,length,weight,gut_length,parasite,parasite_n,parasite_weight,eggs,sex,site,site.pull,basin,lake/shore,Station,NR.2,NR.3,Gap,tanypodinae,orthocladinae,chironominii,tanytarsini,unknown larvae,adult_fly,Alona rectangula,Alona affinis/quad,Unknown alona,alonella nana,macrothrix hirsuticornix,acroperus harpae,daphnia longispina,resting eggs,Copepods_adult,Copepods_nauplii,ostracod,snail,bivalve,stickleback eggs,Fullness,Algae A,Parasite,Unknow,total_nr,hlutf.tanypodinae,hlutf.orthocladinae,hlutf.chironominii,hlutf.tanytarsini,hlutf.unknown larvae,hlutf.adult_fly,hlutf.Alona rectangula,hlutf.Alona affinis/quad,hlutf.Unknown alona,hlutf.alonella nana,hlutf.macrothrix hirsuticornix,hlutf.acroperus harpae,hlutf.daphnia longispina,hlutf.resting eggs,hlutf.Copepods_adult,hlutf.Copepods_nauplii,hlutf.ostracod,hlutf.snail,hlutf.bivalve,hlutf.stickleback eggs,pull.hlutf.chironomidae?,pull.hlutf.adult_fly,pull.hlutf.alona,pull.hlutf.various_cladocera,pull.hlutf.copepods,pull.hlutf.ostracod,pull.hlutf.snail,pull.hlutf.bivalve,pull.hlutf.stickleback.eggs
RG210001,69,2.52,34,0,0,0,1,F,GS,GS,North,Shore,Shore,1.338,1.366,0.187,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,8,0,0,0,0,0,0.625,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.625,0.125,0,0,0,0,0,0.25
RG210002,64,2.99,34,1,7,0.41,0,F,GS,GS,North,Shore,Shore,1.613,1.668,0.297,1,1,0,1,0,1,0,1,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,14,0.071428571,0.071428571,0,0.071428571,0,0.071428571,0,0.071428571,0.071428571,0,0,0,0,0,0.571428571,0,0,0,0,0,0.214285714,0.071428571,0.142857143,0,0.571428571,0,0,0,0
RG210003,61,2.42,45,1,1,0.0035,0,F,GS,GS,North,Shore,Shore,1.723,1.714,0.212,1,0,22,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0.035714286,0,0.785714286,0,0,0.178571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821428571,0.178571429,0,0,0,0,0,0,0
RG210004,47,0.81,,0,0,0,0,F,GS,GS,North,Shore,Shore,1.383,1.481,0.129,0,5,27,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,39,0,0.128205128,0.692307692,0,0,0.102564103,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820512821,0.102564103,0.076923077,0,0,0,0,0,0
RG210005,50,1.62,31,1,1,0.25,0,M,GS,GS,North,Shore,Shore,1.351,1.242,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG210006,60,2.48,34,1,2,0.45,0,M,GS,GS,North,Shore,Shore,1.566,1.395,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG210007,48,0.65,25,0,0,0,1,F,GS,GS,North,Shore,Shore,1.108,1.129,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG210008,58,1.47,25,0,0,0,0,F,GS,GS,North,Shore,Shore,1.570,1.533,0.205,0,4,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0.4,0,0,0,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.1,0,0,0,0,0,0
RG210009,48,0.7,28,0,0,0,0,F,GS,GS,North,Shore,Shore,1.087,0.946,0.162,0,4,1,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,21,0,0.19047619,0.047619048,0,0,0.619047619,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0.238095238,0.619047619,0,0,0.142857143,0,0,0,0
RG210010,58,1.48,30,0,0,0,0,M,GS,GS,North,Shore,Shore,1.593,1.463,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
