taxon,prevalence,abundance
adult_fly,0.44174757281553423,2.742718446601942
orthocladinae,0.2912621359223299,2.398058252427187
chironominii,0.27669902912621364,1.184466019417476
Unknown alona,0.21844660194174756,3.8058252427184462
Copepods_adult,0.21359223300970878,6.466019417475724
tanypodinae,0.11650485436893208,0.4077669902912623
Alona affinis/quad,0.11165048543689313,0.8883495145631077
stickleback eggs,0.10194174757281554,0.8592233009708758
Alona rectangula,0.08252427184466017,0.4126213592233006
snail,0.07281553398058241,0.15533980582524276
ostracod,0.048543689320388356,0.3058252427184469
alonella nana,0.04854368932038828,0.5873786407766974
bivalve,0.03398058252427186,0.05339805825242712
Copepods_nauplii,0.02912621359223302,0.04854368932038836
unknown larvae,0.02427184466019418,0.02912621359223302
acroperus harpae,0.024271844660194164,0.04854368932038814
macrothrix hirsuticornix,0.01456310679611651,0.019417475728155345
daphnia longispina,0.009708737864077673,0.06796116504854345
resting eggs,0.009708737864077673,0.024271844660194095
tanytarsini,0.009708737864077673,0.009708737864077673
