fish_id,sex,length,gut_length,Gap,raker_length,Comp1,Comp2,Comp3,Station,basin,tanypodinae,orthocladinae,chironominii,tanytarsini,unknown larvae,adult_fly,Alona rectangula,Alona affinis/quad,Unknown alona,alonella nana,macrothrix hirsuticornix,acroperus harpae,daphnia longispina,resting eggs,Copepods_adult,Copepods_nauplii,ostracod,snail,bivalve,stickleback_eggs,chrinominae,alona,copepods,other_cladocerans,mollusks,Site,gut_length_res,Gap_res,raker_length_res,length_z,gut_length_z,Gap_z,raker_length_z,Comp1_z,Comp2_z,Comp3_z
RG210001,F,69,34,0.187,1.352,-0.0375315775983624,-0.038028456195102,-0.0173987833471977,Shore,North,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,Shore/North,-3.60905214626159,-0.06340777780911985,-0.2342856296522892,1.6302831617761162,-0.641358272953218,-1.343998551430866,-1.2647959394463015,-0.6843615249698443,-0.8536370472967529,-0.7142412522376036
RG210007,F,48,25,0.116,1.1185,-0.074804374683143507,0.0376942386259962,-0.0138957669065145,Shore,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,1.8858980610892748,-0.05016201653172301,0.056408921367516095,-0.8706405821400109,0.33513960851990726,-1.0632398719040157,0.3045247580915083,-1.379707054797258,0.8111235186361674,-0.5748172684721707
RG210008,F,58,25,0.205,1.5514999999999999,0.0759885182364874,9.7047099888982e-4,-0.0141840664279776,Shore,North,0,4,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Shore/North,-5.0164591805069225,-0.0012790457114377875,0.23979246850092722,0.3202754863914782,-0.8914660874830808,-0.02711080001196637,1.294524725737119,1.4334213450625402,0.0037528839469142066,-0.5862919128196046
RG210009,F,48,28,0.162,1.0165,0.165990074942387,-0.0735383951899709,-0.0022616107680461,Shore,North,0,4,1,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,Shore/North,4.885898061089195,-0.004162016531723381,-0.04559107863248538,-0.8706405821400109,0.8682643018975417,-0.08821858111013946,-0.24612440470601915,3.112452301355025,-1.634321705667765,-0.11176480382031408
RG210010,M,58,30,0.212,1.528,-0.081594930163962,0.0194858594297444,-0.0395648613064967,Shore,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,-0.016459180506922362,0.005720954288562217,0.21629246850092737,0.3202754863914782,-0.002924931853666674,0.12126200510884216,1.1676594774455344,-1.5063887843141486,0.4108129944651823,-1.5964760192939302
RG210011,M,65,14,0.264,1.246,-0.0151847242279667,0.0873228721249472,-0.0297750494709375,Shore,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,-20.84810924962421,0.02963903386276217,-0.24043904850568376,1.1539167343635206,-3.7048806170698745,0.628232370755522,-1.298015301602813,-0.2674680849237796,1.9022071387501636,-1.2068305267476709
RG210012,M,46,25,0.201,1.165,-0.0787878992627768,-0.00406064338879669,-0.0270859680823703,Shore,North,0,1,0,0,0,1,1,3,3,0,0,0,0,0,38,2,0,0,0,0,0,7,40,0,0,Shore/North,3.2663695094084173,0.0428613893042195,0.1528322119408321,-1.1088237958463087,0.5804607477204876,0.9084949374917233,0.8250679368011006,-1.4540220036621134,-0.10685597453476525,-1.0998020710689418
RG210013,F,57,14,0.099,1.2525,0.0222283999036537,0.0191836051019157,-0.026217229368661,Shore,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,-15.32622345634731,-0.10326734279346633,-0.03424588621241396,0.20118387953832925,-2.7235960602674947,-2.1888664753769573,-0.18487714286396922,0.43049532690781106,0.40416794456249994,-1.0652252957761073
RG210014,F,49,19,0.09,1.185,-0.0327747938034796,-0.0435639866480089,-0.0234980760659095,Shore,North,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Shore/North,-4.804337663070418,-0.08017371944969483,0.09794727608085596,-0.751548975286862,-0.8537703478357015,-1.6993713788171343,0.5287704467864788,-0.5956209794024238,-0.9753354737895275,-0.956999944180381
RG210015,F,46,18,0.142,1.278,0.122651171984095,-0.108175634866453,-0.0337848789223086,Shore,North,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Shore/North,-3.7336304905915836,-0.016138610695780525,0.2658322119408321,-1.1088237958463087,-0.6634968701606924,-0.3420758485265198,1.4351008328414898,2.3039400673220967,-2.395820102712508,-1.3664262368440483
